Aaron Rodgers,
Tom Brady,
Drew Brees,
Matt Ryan,
Russell Wilson,
Cam Newton,
Dak Prescott,
Kirk Cousins,
Derek Carr,
Jameis Winston,
Matthew Stafford,
Marcus Mariota,
Andrew Luck,
Ben Roethlisberger,
Eli Manning,
Philip Rivers,
Carson Wentz,
Andy Dalton,
Carson Palmer,
Tyrod Taylor,
Jay Cutler,

David Johnson,
Le'Veon Bell,
LeSean McCoy,
Devonta Freeman,
Melvin Gordon,
Jay Ajayi,
DeMarco Murray,
Jordan Howard,
Todd Gurley,
Ezekiel Elliott,
Leonard Fournette,
Lamar Miller,
Marshawn Lynch,
Christian McCaffrey,
Isaiah Crowell,
Kareem Hunt,
Ty Montgomery,
Dalvin Cook,
Carlos Hyde,
Bilal Powell,
Joe Mixon,
Mark Ingram,
Danny Woodhead,
Adrian Peterson,
Frank Gore,
Mike Gillislee,
Ameer Abdullah,
C.J. Anderson,
Theo Riddick,
Robert Kelley,
Paul Perkins,
Terrance West,
Eddie Lacy,
Tevin Coleman,
Darren McFadden,
Doug Martin,
Duke Johnson Jr.,
Matt Forte,
LeGarrette Blount,
James White,
Jonathan Stewart,
Darren Sproles,
Derrick Henry,
Thomas Rawls,
Giovani Bernard,
Jacquizz Rodgers,
C.J. Prosise,
Jamaal Charles,
Latavius Murray,
Chris Thompson,
Rex Burkhead,
Jeremy Hill,
Charcandrick West,
Alvin Kamara,
Shane Vereen,
Charles Sims,
Samaje Perine,
Spencer Ware,

Antonio Brown,
Julio Jones,
Odell Beckham Jr.,
Jordy Nelson,
Mike Evans,
A.J. Green,
Michael Thomas,
Brandin Cooks,
Doug Baldwin,
Dez Bryant,
T.Y. Hilton,
Amari Cooper,
Terrelle Pryor Sr.,
Demaryius Thomas,
DeAndre Hopkins,
Alshon Jeffery,
Michael Crabtree,
Keenan Allen,
Larry Fitzgerald,
Golden Tate,
Davante Adams,
Jarvis Landry,
Emmanuel Sanders,
Kelvin Benjamin,
Tyreek Hill,
Martavis Bryant,
Allen Robinson,
Jamison Crowder,
Sammy Watkins,
Stefon Diggs,
Pierre Garcon,
Brandon Marshall,
DeVante Parker,
DeSean Jackson,
Jeremy Maclin,
Willie Snead,
Eric Decker,
Randall Cobb,
Mike Wallace,
Donte Moncrief,
Adam Thielen,
Chris Hogan,
Kenny Britt,
Tyrell Williams,
Rishard Matthews,
Corey Coleman,
Jordan Matthews,
Corey Davis,
Danny Amendola,
Ted Ginn Jr.,
Marvin Jones,
Zay Jones,
Kevin White,
Cole Beasley,
John Brown,
Mohamed Sanu,
Sterling Shepard,
Tyler Lockett,
John Ross,
Cooper Kupp,
Taylor Gabriel,
Torrey Smith,
Josh Doctson,
Kenny Stills,
Julian Edelman,
Cameron Meredith,

Rob Gronkowski,
Travis Kelce,
Greg Olsen,
Jordan Reed,
Jimmy Graham,
Delanie Walker,
Kyle Rudolph,
Zach Ertz,
Martellus Bennett,
Tyler Eifert,
Jason Witten,
Hunter Henry,
Jack Doyle,
Jared Cook,
Antonio Gates,
O.J. Howard,
Evan Engram,
Eric Ebron,
Austin Hooper,
Julius Thomas,
Coby Fleener,
Cameron Brate,

Seahawks D/ST,
Broncos D/ST,
Texans D/ST,
Chiefs D/ST,
Cardinals D/ST,
Vikings D/ST,
Patriots D/ST,
Steelers D/ST,
Falcons D/ST,
Jaguars D/ST,
Rams D/ST,
Ravens D/ST,
Giants D/ST,
Panthers D/ST,
Chargers D/ST,
Titans D/ST,
Eagles D/ST,
Bengals D/ST,

Stephen Gostkowski,
Justin Tucker,
Matt Bryant,
Adam Vinatieri,
Dan Bailey,
Mason Crosby,
Matt Prater,
Sebastian Janikowski,
Harrison Butker,
Blair Walsh,
Dustin Hopkins,
Chris Boswell,
Cairo Santos,
Wil Lutz,
Caleb Sturgis,

