David Johnson,
Le'Veon Bell,
Antonio Brown,
Odell Beckham Jr,
LeSean McCoy,
Julio Jones,
Jordy Nelson,
Mike Evans,
Devonta Freeman,
Melvin Gordon,
A.J. Green,
Jordan Howard,
Michael Thomas,
DeMarco Murray,
Jay Ajayi,
Brandin Cooks,
Todd Gurley,
Leonard Fournette,
Doug Baldwin,
T.Y. Hilton,
Amari Cooper,
Ezekiel Elliott,
Dez Bryant,
Rob Gronkowski,
Lamar Miller,
Isaiah Crowell,
Terrelle Pryor Sr,
Demaryius Thomas,
Alshon Jeffery,
DeAndre Hopkins,
Marshawn Lynch,
Carlos Hyde,
Kareem Hunt,
Dalvin Cook,
Michael Crabtree,
Keenan Allen,
Christian McCaffrey,
Davante Adams,
Ty Montgomery,
Tom Brady,
Joe Mixon,
Golden Tate,
Aaron Rodgers,
Jordan Reed,
Travis Kelce,
Emmanuel Sanders,
Kelvin Benjamin,
Allen Robinson,
Frank Gore,
Bilal Powell,
Tyreek Hill,
Drew Brees,
Larry Fitzgerald,
Sammy Watkins,
Greg Olsen,
Mark Ingram,
Martavis Bryant,
Jamison Crowder,
Adrian Peterson,
Pierre Garcon,
Mike Gillislee,
Danny Woodhead,
Jarvis Landry,
Stefon Diggs,
DeVante Parker,
Rob Kelley,
Brandon Marshall,
Ameer Abdullah,
C.J. Anderson,
Paul Perkins,
Matt Ryan,
DeSean Jackson,
Terrance West,
Eric Decker,
Eddie Lacy,
Donte Moncrief,
Russell Wilson,
Tevin Coleman,
Darren McFadden,
Jimmy Graham,
Mike Wallace,
Theo Riddick,
Kenny Britt,
Doug Martin,
Jonathan Stewart,
Tyrell Williams,
Kirk Cousins,
Jeremy Maclin,
LeGarrette Blount,
Cam Newton,
Delanie Walker,
Adam Thielen,
Chris Hogan,
Duke Johnson Jr,
Kyle Rudolph,
Matt Forte,
Thomas Rawls,
Willie Snead,
Tyler Eifert,
Rishard Matthews,
Corey Davis,
Dak Prescott,
James White,
Jacquizz Rodgers,
Randall Cobb,
Derrick Henry,
Andrew Luck,
Corey Coleman,
Zach Ertz,
Zay Jones,
Derek Carr,
Jameis Winston,
Marcus Mariota,
Jordan Matthews,
Ted Ginn Jr,
C.J. Prosise,
Darren Sproles,
Rex Burkhead,
Marvin Jones Jr,
Giovani Bernard,
Kevin White,
Matthew Stafford,
John Brown,
Hunter Henry,
Ben Roethlisberger,
Josh Doctson,
Martellus Bennett,
Latavius Murray,
Broncos D/ST,
Seahawks D/ST,
Philip Rivers,
Jeremy Hill,
Chiefs D/ST,
Texans D/ST,
Sterling Shepard,
Vikings D/ST,
Samaje Perine,
Jack Doyle,
Justin Tucker,
Matt Bryant,
Stephen Gostkowski,
Adam Vinatieri,
Charcandrick West,
Torrey Smith,
Tyler Lockett,
Dan Bailey,
Marqise Lee,
Cardinals D/ST,
Matt Prater,
Eric Ebron,
Patriots D/ST,
Dustin Hopkins,
Alvin Kamara,
Wendell Smallwood,
Danny Amendola,
Andy Dalton,
Jamaal Charles,
Kenny Stills,
Panthers D/ST,
Jamaal Williams,
