Name, team, opp, pos, snaps, fantasy_pts 
Aaron Ripkowski, GNB, JAX, FB, 8, 0
Aaron Ripkowski, GNB, MIN, FB, 2, 0
Aaron Ripkowski, GNB, DET, FB, 11, 0
Aaron Ripkowski, GNB, NYG, FB, 25, 1.70
Aaron Ripkowski, GNB, DAL, FB, 18, 0.20
Aaron Ripkowski, GNB, CHI, FB, 22, 1.60
Aaron Ripkowski, GNB, ATL, FB, 32, 3.30
Aaron Ripkowski, GNB, IND, FB, 22, 0.70
Aaron Ripkowski, GNB, TEN, FB, 0, 0
Aaron Ripkowski, GNB, WAS, FB, 14, 0.90
Aaron Ripkowski, GNB, PHI, FB, 25, 7.60
Aaron Ripkowski, GNB, HOU, FB, 24, 7.80
Aaron Ripkowski, GNB, SEA, FB, 24, 0.20
Aaron Ripkowski, GNB, CHI, FB, 11, 0
Aaron Ripkowski, GNB, MIN, FB, 14, 0
Aaron Ripkowski, GNB, DET, FB, 36, 13.60
