Name, team, opp, pos, snaps, fantasy_pts 
Adam Humphries, TAM, ATL, WR, 49, 4.10
Adam Humphries, TAM, ARI, WR, 58, 6.70
Adam Humphries, TAM, LAR, WR, 58, 10.00
Adam Humphries, TAM, DEN, WR, 39, 0.40
Adam Humphries, TAM, CAR, WR, 31, 3.10
Adam Humphries, TAM, SFO, WR, 38, 2.30
Adam Humphries, TAM, OAK, WR, 48, 5.80
Adam Humphries, TAM, ATL, WR, 73, 10.60
Adam Humphries, TAM, CHI, WR, 49, 4.80
Adam Humphries, TAM, KAN, WR, 42, 4.70
Adam Humphries, TAM, SEA, WR, 39, 2.10
Adam Humphries, TAM, SDG, WR, 14, 1.90
Adam Humphries, TAM, DAL, WR, 41, 10.90
Adam Humphries, TAM, NOR, WR, 32, 1.20
Adam Humphries, TAM, CAR, WR, 37, 9.40
