Name, team, opp, pos, snaps, fantasy_pts 
Alex Smith, KAN, SDG, QB, 71, 28.02
Alex Smith, KAN, HOU, QB, 64, 3.64
Alex Smith, KAN, NYJ, QB, 63, 13.18
Alex Smith, KAN, PIT, QB, 75, 17.68
Alex Smith, KAN, OAK, QB, 64, 8.86
Alex Smith, KAN, NOR, QB, 52, 17.26
Alex Smith, KAN, IND, QB, 29, 9.98
Alex Smith, KAN, CAR, QB, 64, 8.42
Alex Smith, KAN, TAM, QB, 53, 19.44
Alex Smith, KAN, DEN, QB, 85, 15.00
Alex Smith, KAN, ATL, QB, 49, 12.50
Alex Smith, KAN, OAK, QB, 55, 11.16
Alex Smith, KAN, TEN, QB, 58, 11.62
Alex Smith, KAN, DEN, QB, 75, 22.36
Alex Smith, KAN, SDG, QB, 58, 24.66
