Name, team, opp, pos, snaps, fantasy_pts 
Alfred Blue, HOU, CHI, RB, 3, 0.40
Alfred Blue, HOU, KAN, RB, 9, 1.10
Alfred Blue, HOU, NWE, RB, 2, 1.20
Alfred Blue, HOU, TEN, RB, 13, 2.30
Alfred Blue, HOU, MIN, RB, 21, 3.90
Alfred Blue, HOU, IND, RB, 6, 1.30
Alfred Blue, HOU, DEN, RB, 36, 4.30
Alfred Blue, HOU, DET, RB, 15, 4.10
Alfred Blue, HOU, JAX, RB, 20, 2.30
Alfred Blue, HOU, GNB, RB, 9, 4.10
Alfred Blue, HOU, IND, RB, 21, 5.50
Alfred Blue, HOU, JAX, RB, 8, 0.50
Alfred Blue, HOU, CIN, RB, 45, 15.00
Alfred Blue, HOU, TEN, RB, 29, 4.00
