Name, team, opp, pos, snaps, fantasy_pts 
Alshon Jeffery, CHI, HOU, WR, 53, 10.50
Alshon Jeffery, CHI, PHI, WR, 50, 9.60
Alshon Jeffery, CHI, DAL, WR, 65, 7.00
Alshon Jeffery, CHI, DET, WR, 56, 4.60
Alshon Jeffery, CHI, IND, WR, 61, 7.70
Alshon Jeffery, CHI, JAX, WR, 74, 9.30
Alshon Jeffery, CHI, GNB, WR, 45, 3.30
Alshon Jeffery, CHI, MIN, WR, 57, 12.30
Alshon Jeffery, CHI, TAM, WR, 55, 4.70
Alshon Jeffery, CHI, GNB, WR, 61, 14.90
Alshon Jeffery, CHI, WAS, WR, 66, 9.20
Alshon Jeffery, CHI, MIN, WR, 49, 1.00
