Name, team, opp, pos, snaps, fantasy_pts 
Amari Cooper, OAK, NOR, WR, 72, 15.70
Amari Cooper, OAK, ATL, WR, 69, 7.10
Amari Cooper, OAK, TEN, WR, 52, 6.20
Amari Cooper, OAK, BAL, WR, 55, 4.80
Amari Cooper, OAK, SDG, WR, 65, 21.80
Amari Cooper, OAK, KAN, WR, 55, 12.90
Amari Cooper, OAK, JAX, WR, 68, 2.90
Amari Cooper, OAK, TAM, WR, 90, 23.30
Amari Cooper, OAK, DEN, WR, 67, 5.60
Amari Cooper, OAK, HOU, WR, 42, 11.70
Amari Cooper, OAK, CAR, WR, 71, 2.20
Amari Cooper, OAK, BUF, WR, 63, 11.90
Amari Cooper, OAK, KAN, WR, 74, 2.90
Amari Cooper, OAK, SDG, WR, 51, 2.80
Amari Cooper, OAK, IND, WR, 61, 7.60
Amari Cooper, OAK, DEN, WR, 42, 9.90
