Name, team, opp, pos, snaps, fantasy_pts 
Andrew Luck, IND, DET, QB, 70, 35.50
Andrew Luck, IND, DEN, QB, 73, 10.08
Andrew Luck, IND, SDG, QB, 71, 13.24
Andrew Luck, IND, JAX, QB, 78, 17.66
Andrew Luck, IND, CHI, QB, 68, 22.18
Andrew Luck, IND, HOU, QB, 74, 23.38
Andrew Luck, IND, TEN, QB, 70, 27.82
Andrew Luck, IND, KAN, QB, 66, 18.40
Andrew Luck, IND, GNB, QB, 68, 12.74
Andrew Luck, IND, TEN, QB, 60, 18.68
Andrew Luck, IND, NYJ, QB, 58, 29.72
Andrew Luck, IND, HOU, QB, 66, 16.24
Andrew Luck, IND, MIN, QB, 65, 18.80
Andrew Luck, IND, OAK, QB, 55, 24.72
Andrew Luck, IND, JAX, QB, 71, 18.54
