Name, team, opp, pos, snaps, fantasy_pts 
Anquan Boldin, DET, IND, WR, 54, 3.50
Anquan Boldin, DET, TEN, WR, 67, 10.80
Anquan Boldin, DET, GNB, WR, 53, 8.20
Anquan Boldin, DET, CHI, WR, 54, 3.10
Anquan Boldin, DET, PHI, WR, 53, 4.80
Anquan Boldin, DET, LAR, WR, 53, 12.00
Anquan Boldin, DET, WAS, WR, 42, 8.80
Anquan Boldin, DET, HOU, WR, 49, 0.40
Anquan Boldin, DET, MIN, WR, 44, 7.00
Anquan Boldin, DET, JAX, WR, 39, 3.70
Anquan Boldin, DET, MIN, WR, 45, 12.90
Anquan Boldin, DET, NOR, WR, 58, 4.00
Anquan Boldin, DET, CHI, WR, 58, 10.90
Anquan Boldin, DET, NYG, WR, 52, 1.30
Anquan Boldin, DET, DAL, WR, 50, 3.30
Anquan Boldin, DET, GNB, WR, 59, 11.70
