Name, team, opp, pos, snaps, fantasy_pts 
Austin Hooper, ATL, TAM, TE, 9, 1.40
Austin Hooper, ATL, OAK, TE, 20, 8.40
Austin Hooper, ATL, NOR, TE, 14, 0
Austin Hooper, ATL, CAR, TE, 19, 10.20
Austin Hooper, ATL, DEN, TE, 18, 1.40
Austin Hooper, ATL, SEA, TE, 12, 0
Austin Hooper, ATL, SDG, TE, 15, 0
Austin Hooper, ATL, GNB, TE, 46, 4.10
Austin Hooper, ATL, TAM, TE, 55, 10.60
Austin Hooper, ATL, PHI, TE, 36, 0.80
Austin Hooper, ATL, ARI, TE, 33, 0.80
Austin Hooper, ATL, KAN, TE, 46, 0
Austin Hooper, ATL, LAR, TE, 42, 0.50
Austin Hooper, ATL, SFO, TE, 40, 6.90
