Name, team, opp, pos, snaps, fantasy_pts 
Ben Koyack, JAX, GNB, TE, 6, 0
Ben Koyack, JAX, SDG, TE, 1, 0
Ben Koyack, JAX, CHI, TE, 1, 0
Ben Koyack, JAX, OAK, TE, 4, 0
Ben Koyack, JAX, TEN, TE, 10, 4.10
Ben Koyack, JAX, KAN, TE, 12, 0
Ben Koyack, JAX, HOU, TE, 24, 3.50
Ben Koyack, JAX, DET, TE, 36, 0
Ben Koyack, JAX, BUF, TE, 40, 2.30
Ben Koyack, JAX, DEN, TE, 53, 0.40
Ben Koyack, JAX, MIN, TE, 40, 1.90
Ben Koyack, JAX, HOU, TE, 33, 0.20
Ben Koyack, JAX, TEN, TE, 52, 1.20
Ben Koyack, JAX, IND, TE, 50, 8.50
