Name, team, opp, pos, snaps, fantasy_pts 
Bilal Powell, NYJ, CIN, RB, 17, 4.80
Bilal Powell, NYJ, BUF, RB, 17, 0.30
Bilal Powell, NYJ, KAN, RB, 28, 5.10
Bilal Powell, NYJ, SEA, RB, 37, 8.00
Bilal Powell, NYJ, PIT, RB, 27, 5.10
Bilal Powell, NYJ, ARI, RB, 39, 2.20
Bilal Powell, NYJ, BAL, RB, 9, 1.80
Bilal Powell, NYJ, CLE, RB, 30, 13.90
Bilal Powell, NYJ, MIA, RB, 26, 5.10
Bilal Powell, NYJ, LAR, RB, 32, 14.90
Bilal Powell, NYJ, NWE, WR, 28, 4.30
Bilal Powell, NYJ, IND, RB, 28, 0.30
Bilal Powell, NYJ, SFO, RB, 73, 29.90
Bilal Powell, NYJ, MIA, RB, 64, 16.20
Bilal Powell, NYJ, NWE, RB, 32, 7.40
Bilal Powell, NYJ, BUF, RB, 43, 19.70
