Name, team, opp, pos, snaps, fantasy_pts 
Brandin Cooks, NOR, OAK, WR, 62, 27.40
Brandin Cooks, NOR, NYG, WR, 53, 6.80
Brandin Cooks, NOR, ATL, WR, 78, 1.90
Brandin Cooks, NOR, SDG, WR, 50, 3.10
Brandin Cooks, NOR, CAR, WR, 56, 23.50
Brandin Cooks, NOR, KAN, WR, 67, 11.80
Brandin Cooks, NOR, SEA, WR, 38, 10.40
Brandin Cooks, NOR, SFO, WR, 58, 6.60
Brandin Cooks, NOR, DEN, WR, 38, 15.80
Brandin Cooks, NOR, CAR, WR, 65, 4.90
Brandin Cooks, NOR, LAR, WR, 45, 0
Brandin Cooks, NOR, DET, WR, 52, 7.70
Brandin Cooks, NOR, TAM, WR, 52, 6.10
Brandin Cooks, NOR, ARI, WR, 66, 30.60
Brandin Cooks, NOR, TAM, WR, 48, 9.80
Brandin Cooks, NOR, ATL, WR, 55, 1.90
