Name, team, opp, pos, snaps, fantasy_pts 
Brandon Coleman, NOR, OAK, WR, 5, 0
Brandon Coleman, NOR, NYG, WR, 21, 1.50
Brandon Coleman, NOR, ATL, WR, 69, 7.80
Brandon Coleman, NOR, SDG, WR, 18, 1.70
Brandon Coleman, NOR, CAR, WR, 15, 0.60
Brandon Coleman, NOR, KAN, WR, 17, 7.00
Brandon Coleman, NOR, SEA, WR, 28, 4.40
Brandon Coleman, NOR, SFO, WR, 25, 2.50
Brandon Coleman, NOR, DEN, WR, 15, 1.90
Brandon Coleman, NOR, CAR, WR, 14, 6.90
Brandon Coleman, NOR, LAR, WR, 27, 6.30
Brandon Coleman, NOR, DET, WR, 7, 0
Brandon Coleman, NOR, TAM, WR, 51, 4.70
Brandon Coleman, NOR, ARI, WR, 15, 0
Brandon Coleman, NOR, TAM, WR, 7, 0
Brandon Coleman, NOR, ATL, WR, 32, 0.80
