Name, team, opp, pos, snaps, fantasy_pts 
Brandon Marshall, NYJ, CIN, WR, 68, 3.20
Brandon Marshall, NYJ, BUF, WR, 68, 10.10
Brandon Marshall, NYJ, KAN, WR, 66, 2.70
Brandon Marshall, NYJ, SEA, WR, 63, 14.90
Brandon Marshall, NYJ, PIT, WR, 56, 17.40
Brandon Marshall, NYJ, ARI, WR, 53, 7.00
Brandon Marshall, NYJ, BAL, WR, 65, 3.90
Brandon Marshall, NYJ, CLE, WR, 67, 6.80
Brandon Marshall, NYJ, MIA, WR, 54, 4.60
Brandon Marshall, NYJ, LAR, WR, 57, 1.50
Brandon Marshall, NYJ, NWE, WR, 54, 12.70
Brandon Marshall, NYJ, IND, WR, 48, 4.30
Brandon Marshall, NYJ, SFO, WR, 78, 3.30
Brandon Marshall, NYJ, MIA, WR, 73, 1.60
Brandon Marshall, NYJ, NWE, WR, 29, 2.80
