Name, team, opp, pos, snaps, fantasy_pts 
Breshad Perriman, BAL, BUF, WR, 21, 3.50
Breshad Perriman, BAL, CLE, WR, 31, 3.20
Breshad Perriman, BAL, JAX, WR, 26, 2.40
Breshad Perriman, BAL, OAK, WR, 32, 2.40
Breshad Perriman, BAL, WAS, WR, 36, 1.10
Breshad Perriman, BAL, NYG, WR, 56, 4.80
Breshad Perriman, BAL, NYJ, WR, 43, 1.10
Breshad Perriman, BAL, PIT, WR, 35, 3.30
Breshad Perriman, BAL, CLE, WR, 39, 12.40
Breshad Perriman, BAL, DAL, WR, 23, 0
Breshad Perriman, BAL, CIN, WR, 23, 7.40
Breshad Perriman, BAL, MIA, WR, 21, 11.90
Breshad Perriman, BAL, NWE, WR, 28, 5.20
Breshad Perriman, BAL, PHI, WR, 13, 0
Breshad Perriman, BAL, PIT, WR, 27, 3.20
Breshad Perriman, BAL, CIN, WR, 31, 6.20
