Name, team, opp, pos, snaps, fantasy_pts 
Brock Osweiler, HOU, CHI, QB, 75, 16.64
Brock Osweiler, HOU, KAN, QB, 72, 10.42
Brock Osweiler, HOU, NWE, QB, 71, 7.14
Brock Osweiler, HOU, TEN, QB, 64, 15.56
Brock Osweiler, HOU, MIN, QB, 64, 9.36
Brock Osweiler, HOU, IND, QB, 71, 16.36
Brock Osweiler, HOU, DEN, QB, 70, 4.84
Brock Osweiler, HOU, DET, QB, 67, 9.14
Brock Osweiler, HOU, JAX, QB, 63, 14.26
Brock Osweiler, HOU, OAK, QB, 76, 13.02
Brock Osweiler, HOU, SDG, QB, 69, 12.14
Brock Osweiler, HOU, GNB, QB, 66, 17.28
Brock Osweiler, HOU, IND, QB, 72, 3.68
Brock Osweiler, HOU, JAX, QB, 19, -2.08
Brock Osweiler, HOU, TEN, QB, 57, 20.22
