Name, team, opp, pos, snaps, fantasy_pts 
C.J. Fiedorowicz, HOU, CHI, TE, 38, 0.60
C.J. Fiedorowicz, HOU, KAN, TE, 41, 0.10
C.J. Fiedorowicz, HOU, NWE, TE, 25, 0
C.J. Fiedorowicz, HOU, TEN, TE, 47, 10.80
C.J. Fiedorowicz, HOU, MIN, TE, 42, 6.10
C.J. Fiedorowicz, HOU, IND, TE, 44, 14.50
C.J. Fiedorowicz, HOU, DEN, TE, 52, 3.50
C.J. Fiedorowicz, HOU, DET, TE, 48, 10.30
C.J. Fiedorowicz, HOU, JAX, TE, 55, 2.60
C.J. Fiedorowicz, HOU, OAK, TE, 56, 8.20
C.J. Fiedorowicz, HOU, SDG, TE, 45, 4.20
C.J. Fiedorowicz, HOU, GNB, TE, 46, 4.40
C.J. Fiedorowicz, HOU, IND, TE, 56, 3.20
C.J. Fiedorowicz, HOU, CIN, TE, 43, 4.20
C.J. Fiedorowicz, HOU, TEN, TE, 39, 7.20
