Name, team, opp, pos, snaps, fantasy_pts 
Cameron Meredith, CHI, DAL, WR, 14, 0.40
Cameron Meredith, CHI, DET, WR, 26, 2.80
Cameron Meredith, CHI, IND, WR, 63, 17.60
Cameron Meredith, CHI, JAX, WR, 68, 11.30
Cameron Meredith, CHI, GNB, WR, 40, 1.20
Cameron Meredith, CHI, MIN, WR, 53, 2.40
Cameron Meredith, CHI, TAM, WR, 54, 11.00
Cameron Meredith, CHI, NYG, WR, 56, 4.90
Cameron Meredith, CHI, TEN, WR, 69, 1.90
Cameron Meredith, CHI, SFO, WR, 49, 6.70
Cameron Meredith, CHI, DET, WR, 45, 13.20
Cameron Meredith, CHI, GNB, WR, 57, 10.40
Cameron Meredith, CHI, WAS, WR, 62, 19.50
Cameron Meredith, CHI, MIN, WR, 47, 10.18
