Name, team, opp, pos, snaps, fantasy_pts 
Carson Wentz , PHI, CLE, QB, 77, 19.22
Carson Wentz , PHI, CHI, QB, 72, 12.60
Carson Wentz , PHI, PIT, QB, 65, 21.04
Carson Wentz , PHI, DET, QB, 61, 16.92
Carson Wentz , PHI, WAS, QB, 52, 7.36
Carson Wentz , PHI, MIN, QB, 58, 6.12
Carson Wentz , PHI, DAL, QB, 76, 11.78
Carson Wentz , PHI, NYG, QB, 75, 10.16
Carson Wentz , PHI, ATL, QB, 79, 8.24
Carson Wentz , PHI, SEA, QB, 80, 14.92
Carson Wentz , PHI, GNB, QB, 59, 17.46
Carson Wentz , PHI, CIN, QB, 80, 12.62
Carson Wentz , PHI, WAS, QB, 78, 13.06
Carson Wentz , PHI, BAL, QB, 87, 11.60
Carson Wentz , PHI, NYG, QB, 50, 10.78
Carson Wentz , PHI, DAL, QB, 76, 19.10
