Name, team, opp, pos, snaps, fantasy_pts 
Charles Clay, BUF, BAL, TE, 48, 4.00
Charles Clay, BUF, NYJ, TE, 48, 2.70
Charles Clay, BUF, ARI, TE, 53, 0
Charles Clay, BUF, NWE, TE, 71, 4.70
Charles Clay, BUF, LAR, TE, 50, 7.30
Charles Clay, BUF, SFO, TE, 61, 5.20
Charles Clay, BUF, MIA, TE, 54, 2.90
Charles Clay, BUF, NWE, TE, 43, 0.60
Charles Clay, BUF, SEA, TE, 82, 0.90
Charles Clay, BUF, CIN, TE, 60, 2.30
Charles Clay, BUF, JAX, TE, 46, 1.70
Charles Clay, BUF, PIT, TE, 50, 11.20
Charles Clay, BUF, CLE, TE, 60, 13.20
Charles Clay, BUF, MIA, TE, 87, 20.50
Charles Clay, BUF, NYJ, TE, 59, 2.00
