Name, team, opp, pos, snaps, fantasy_pts 
Chris Conley, KAN, SDG, WR, 61, 4.30
Chris Conley, KAN, HOU, WR, 54, 1.50
Chris Conley, KAN, NYJ, WR, 51, 4.40
Chris Conley, KAN, PIT, WR, 70, 7.00
Chris Conley, KAN, OAK, WR, 38, 2.60
Chris Conley, KAN, NOR, WR, 30, 2.90
Chris Conley, KAN, IND, WR, 54, 5.90
Chris Conley, KAN, JAX, WR, 51, 2.80
Chris Conley, KAN, CAR, WR, 54, 1.20
Chris Conley, KAN, TAM, WR, 51, 2.80
Chris Conley, KAN, DEN, WR, 85, 2.60
Chris Conley, KAN, ATL, WR, 42, 0
Chris Conley, KAN, OAK, WR, 37, 7.00
Chris Conley, KAN, TEN, WR, 44, 1.10
Chris Conley, KAN, DEN, WR, 54, 1.40
Chris Conley, KAN, SDG, WR, 40, 5.50
