Name, team, opp, pos, snaps, fantasy_pts 
Chris Hogan , NWE, ARI, WR, 55, 12.00
Chris Hogan , NWE, MIA, WR, 63, 5.90
Chris Hogan , NWE, HOU, WR, 55, 0.30
Chris Hogan , NWE, BUF, WR, 52, 0
Chris Hogan , NWE, CLE, WR, 49, 11.60
Chris Hogan , NWE, CIN, WR, 56, 3.90
Chris Hogan , NWE, PIT, WR, 33, 0.50
Chris Hogan , NWE, BUF, WR, 63, 15.10
Chris Hogan , NWE, SEA, WR, 31, 0
Chris Hogan , NWE, NYJ, WR, 67, 7.00
Chris Hogan , NWE, LAR, WR, 68, 8.30
Chris Hogan , NWE, BAL, WR, 57, 19.60
Chris Hogan , NWE, DEN, WR, 52, 1.80
Chris Hogan , NWE, NYJ, WR, 64, 2.20
Chris Hogan , NWE, MIA, WR, 64, 2.70
