Name, team, opp, pos, snaps, fantasy_pts 
Cordarrelle Patterson, MIN, TEN, WR, 5, 1.40
Cordarrelle Patterson, MIN, GNB, WR, 3, 0
Cordarrelle Patterson, MIN, CAR, WR, 5, 0.80
Cordarrelle Patterson, MIN, NYG, WR, 36, 4.00
Cordarrelle Patterson, MIN, HOU, WR, 45, 10.60
Cordarrelle Patterson, MIN, PHI, WR, 51, 12.70
Cordarrelle Patterson, MIN, CHI, WR, 41, 3.60
Cordarrelle Patterson, MIN, DET, WR, 40, 4.50
Cordarrelle Patterson, MIN, WAS, WR, 44, 1.70
Cordarrelle Patterson, MIN, ARI, WR, 35, 5.30
Cordarrelle Patterson, MIN, DET, WR, 34, 3.70
Cordarrelle Patterson, MIN, DAL, WR, 47, 1.60
Cordarrelle Patterson, MIN, JAX, WR, 32, 1.80
Cordarrelle Patterson, MIN, IND, WR, 44, 4.90
Cordarrelle Patterson, MIN, GNB, WR, 45, 1.30
Cordarrelle Patterson, MIN, CHI, WR, 24, 3.90
