Name, team, opp, pos, snaps, fantasy_pts 
Danny Amendola, NWE, ARI, WR, 19, 4.80
Danny Amendola, NWE, MIA, WR, 19, 14.80
Danny Amendola, NWE, HOU, WR, 13, 2.30
Danny Amendola, NWE, BUF, WR, 13, 0
Danny Amendola, NWE, CLE, WR, 21, 1.10
Danny Amendola, NWE, CIN, WR, 26, 3.00
Danny Amendola, NWE, PIT, WR, 19, 0
Danny Amendola, NWE, BUF, WR, 32, 8.90
Danny Amendola, NWE, SEA, WR, 26, 1.40
Danny Amendola, NWE, SFO, WR, 42, 6.20
Danny Amendola, NWE, NYJ, WR, 17, 0.80
Danny Amendola, NWE, LAR, WR, 19, 3.00
