Name, team, opp, pos, snaps, fantasy_pts 
Darren Sproles, PHI, CLE, RB, 38, 3.60
Darren Sproles, PHI, CHI, RB, 41, 4.80
Darren Sproles, PHI, PIT, RB, 24, 18.70
Darren Sproles, PHI, DET, RB, 34, 6.80
Darren Sproles, PHI, WAS, RB, 23, 2.40
Darren Sproles, PHI, MIN, RB, 26, 4.90
Darren Sproles, PHI, DAL, RB, 61, 10.30
Darren Sproles, PHI, NYG, RB, 60, 7.10
Darren Sproles, PHI, ATL, RB, 31, 7.60
Darren Sproles, PHI, SEA, RB, 10, 2.10
Darren Sproles, PHI, GNB, RB, 31, 5.40
Darren Sproles, PHI, CIN, RB, 44, 10.90
Darren Sproles, PHI, WAS, RB, 30, 10.00
Darren Sproles, PHI, NYG, RB, 27, 12.30
Darren Sproles, PHI, DAL, RB, 29, 3.60
