Name, team, opp, pos, snaps, fantasy_pts 
Davante Adams, GNB, JAX, WR, 59, 11.00
Davante Adams, GNB, MIN, WR, 54, 0.60
Davante Adams, GNB, DET, WR, 25, 8.30
Davante Adams, GNB, NYG, WR, 60, 14.50
Davante Adams, GNB, DAL, WR, 31, 3.40
Davante Adams, GNB, CHI, WR, 70, 25.20
Davante Adams, GNB, ATL, WR, 58, 7.40
Davante Adams, GNB, IND, WR, 66, 10.10
Davante Adams, GNB, TEN, WR, 74, 15.60
Davante Adams, GNB, WAS, WR, 65, 4.20
Davante Adams, GNB, PHI, WR, 64, 23.30
Davante Adams, GNB, HOU, WR, 49, 1.70
Davante Adams, GNB, SEA, WR, 53, 16.40
Davante Adams, GNB, CHI, WR, 60, 2.50
Davante Adams, GNB, MIN, WR, 55, 10.40
Davante Adams, GNB, DET, WR, 70, 17.10
