Name, team, opp, pos, snaps, fantasy_pts 
DeAndre Hopkins, HOU, CHI, WR, 73, 11.40
DeAndre Hopkins, HOU, KAN, WR, 72, 17.30
DeAndre Hopkins, HOU, NWE, WR, 69, 5.60
DeAndre Hopkins, HOU, TEN, WR, 61, 0.40
DeAndre Hopkins, HOU, MIN, WR, 64, 11.60
DeAndre Hopkins, HOU, IND, WR, 70, 7.10
DeAndre Hopkins, HOU, DEN, WC, 70, 3.60
DeAndre Hopkins, HOU, DET, WR, 66, 4.40
DeAndre Hopkins, HOU, JAX, WR, 61, 4.80
DeAndre Hopkins, HOU, OAK, WR, 74, 5.80
DeAndre Hopkins, HOU, SDG, WR, 67, 7.00
DeAndre Hopkins, HOU, GNB, WR, 66, 11.80
DeAndre Hopkins, HOU, IND, WR, 71, 3.30
DeAndre Hopkins, HOU, JAX, WR, 82, 8.70
DeAndre Hopkins, HOU, CIN, WR, 64, 4.30
DeAndre Hopkins, HOU, TEN, WR, 55, 12.30
