Name, team, opp, pos, snaps, fantasy_pts 
DeAndre Washington, OAK, NOR, RB, 8, 2.40
DeAndre Washington, OAK, ATL, RB, 15, 5.20
DeAndre Washington, OAK, TEN, RB, 18, 6.20
DeAndre Washington, OAK, BAL, RB, 10, 2.60
DeAndre Washington, OAK, SDG, RB, 37, 5.20
DeAndre Washington, OAK, KAN, RB, 32, 4.90
DeAndre Washington, OAK, JAX, RB, 13, 2.20
DeAndre Washington, OAK, TAM, RB, 28, 3.20
DeAndre Washington, OAK, DEN, RB, 18, 3.50
DeAndre Washington, OAK, HOU, RB, 4, 0
DeAndre Washington, OAK, KAN, RB, 2, 0
DeAndre Washington, OAK, SDG, RB, 10, 3.40
DeAndre Washington, OAK, IND, RB, 25, 23.70
DeAndre Washington, OAK, DEN, RB, 21, 5.70
