Name, team, opp, pos, snaps, fantasy_pts 
Delanie Walker, TEN, MIN, TE, 54, 4.20
Delanie Walker, TEN, DET, TE, 52, 14.30
Delanie Walker, TEN, HOU, TE, 36, 3.40
Delanie Walker, TEN, MIA, TE, 43, 12.60
Delanie Walker, TEN, CLE, TE, 43, 2.10
Delanie Walker, TEN, IND, TE, 54, 14.40
Delanie Walker, TEN, JAX, TE, 42, 7.80
Delanie Walker, TEN, SDG, TE, 52, 10.20
Delanie Walker, TEN, GNB, TE, 49, 18.40
Delanie Walker, TEN, IND, TE, 53, 3.60
Delanie Walker, TEN, CHI, TE, 47, 11.00
Delanie Walker, TEN, DEN, TE, 46, 3.80
Delanie Walker, TEN, KAN, TE, 46, 5.50
Delanie Walker, TEN, JAX, TE, 58, 8.30
Delanie Walker, TEN, HOU, TE, 34, 3.50
