Name, team, opp, pos, snaps, fantasy_pts 
Derek Carr, OAK, NOR, QB, 73, 22.36
Derek Carr, OAK, ATL, QB, 75, 24.96
Derek Carr, OAK, TEN, QB, 65, 11.86
Derek Carr, OAK, BAL, QB, 60, 23.76
Derek Carr, OAK, SDG, QB, 72, 21.98
Derek Carr, OAK, KAN, QB, 55, 9.80
Derek Carr, OAK, JAX, QB, 72, 12.40
Derek Carr, OAK, TAM, QB, 94, 35.82
Derek Carr, OAK, DEN, QB, 88, 7.66
Derek Carr, OAK, HOU, QB, 53, 21.60
Derek Carr, OAK, CAR, QB, 70, 17.40
Derek Carr, OAK, BUF, QB, 71, 20.80
Derek Carr, OAK, KAN, QB, 75, 4.98
Derek Carr, OAK, SDG, QB, 62, 11.02
Derek Carr, OAK, IND, QB, 63, 22.08
