Name, team, opp, pos, snaps, fantasy_pts 
Derrick Henry, TEN, MIN, RB, 21, 4.40
Derrick Henry, TEN, DET, RB, 31, 4.90
Derrick Henry, TEN, OAK, RB, 24, 4.50
Derrick Henry, TEN, HOU, RB, 9, 0.90
Derrick Henry, TEN, MIA, RB, 22, 5.40
Derrick Henry, TEN, CLE, RB, 9, 2.70
Derrick Henry, TEN, IND, RB, 6, 0.30
Derrick Henry, TEN, JAX, RB, 32, 15.70
Derrick Henry, TEN, GNB, RB, 19, 3.10
Derrick Henry, TEN, IND, RB, 3, 0
Derrick Henry, TEN, CHI, RB, 14, 12.00
Derrick Henry, TEN, DEN, RB, 18, 4.70
Derrick Henry, TEN, KAN, RB, 17, 17.80
Derrick Henry, TEN, JAX, RB, 17, 3.50
Derrick Henry, TEN, HOU, RB, 28, 12.80
