Name, team, opp, pos, snaps, fantasy_pts 
Devin Funchess, CAR, DEN, WR, 39, 0.90
Devin Funchess, CAR, SFO, WR, 54, 7.90
Devin Funchess, CAR, MIN, WR, 42, 0
Devin Funchess, CAR, ATL, WR, 27, 5.60
Devin Funchess, CAR, TAM, WR, 21, 0
Devin Funchess, CAR, NOR, WR, 45, 10.80
Devin Funchess, CAR, ARI, WR, 30, 3.80
Devin Funchess, CAR, LAR, WR, 29, 2.80
Devin Funchess, CAR, KAN, WR, 29, 11.60
Devin Funchess, CAR, NOR, WR, 37, 3.20
Devin Funchess, CAR, OAK, WR, 32, 1.90
Devin Funchess, CAR, SEA, WR, 28, 4.40
Devin Funchess, CAR, SDG, WR, 21, 9.30
Devin Funchess, CAR, WAS, WR, 44, 0
Devin Funchess, CAR, ATL, WR, 15, 0.90
