Name, team, opp, pos, snaps, fantasy_pts 
Devontae Booker, DEN, CAR, RB, 6, -1.20
Devontae Booker, DEN, IND, RB, 14, 5.10
Devontae Booker, DEN, CIN, RB, 16, 2.50
Devontae Booker, DEN, TAM, RB, 18, 3.00
Devontae Booker, DEN, ATL, RB, 29, 5.90
Devontae Booker, DEN, SDG, RB, 15, 5.30
Devontae Booker, DEN, HOU, RB, 35, 14.70
Devontae Booker, DEN, SDG, RB, 54, 12.40
Devontae Booker, DEN, OAK, RB, 46, 3.00
Devontae Booker, DEN, NOR, RB, 59, 8.80
Devontae Booker, DEN, KAN, RB, 46, 10.10
Devontae Booker, DEN, JAX, RB, 37, 9.70
Devontae Booker, DEN, TEN, RB, 28, 1.10
Devontae Booker, DEN, NWE, RB, 28, 3.30
Devontae Booker, DEN, KAN, RB, 33, 5.10
Devontae Booker, DEN, OAK, RB, 29, 22.90
