Name, team, opp, pos, snaps, fantasy_pts 
Dion Sims, MIA, SEA, TE, 13, 0
Dion Sims, MIA, NWE, TE, 33, 2.10
Dion Sims, MIA, CLE, TE, 60, 4.60
Dion Sims, MIA, CIN, TE, 45, 0.90
Dion Sims, MIA, TEN, TE, 43, 0.60
Dion Sims, MIA, PIT, TE, 47, 1.20
Dion Sims, MIA, SDG, TE, 49, 0
Dion Sims, MIA, LAR, TE, 60, 2.00
Dion Sims, MIA, SFO, TE, 59, 11.30
Dion Sims, MIA, BAL, TE, 60, 3.90
Dion Sims, MIA, ARI, TE, 60, 6.90
Dion Sims, MIA, NYJ, TE, 45, 15.10
Dion Sims, MIA, BUF, TE, 69, 1.00
Dion Sims, MIA, NWE, TE, 58, 0
