Name, team, opp, pos, snaps, fantasy_pts 
Duke Johnson, CLE, PHI, RB, 23, 5.00
Duke Johnson, CLE, BAL, RB, 31, 5.60
Duke Johnson, CLE, MIA, RB, 41, 8.10
Duke Johnson, CLE, WAS, RB, 41, 5.60
Duke Johnson, CLE, NWE, RB, 28, 2.20
Duke Johnson, CLE, TEN, RB, 32, 13.40
Duke Johnson, CLE, CIN, RB, 30, 3.30
Duke Johnson, CLE, NYJ, RB, 31, 11.60
Duke Johnson, CLE, DAL, RB, 22, 4.60
Duke Johnson, CLE, BAL, RB, 21, 3.10
Duke Johnson, CLE, PIT, RB, 32, 5.60
Duke Johnson, CLE, NYG, RB, 35, 4.00
Duke Johnson, CLE, CIN, RB, 24, 4.50
Duke Johnson, CLE, BUF, RB, 29, 9.30
Duke Johnson, CLE, SDG, RB, 33, 4.90
Duke Johnson, CLE, PIT, RB, 4, 0.40
