Name, team, opp, pos, snaps, fantasy_pts 
Dwayne Allen, IND, DET, TB, 49, 13.30
Dwayne Allen, IND, DEN, TE, 62, 2.50
Dwayne Allen, IND, SDG, TE, 59, 3.50
Dwayne Allen, IND, JAX, TE, 62, 2.00
Dwayne Allen, IND, CHI, TE, 48, 11.00
Dwayne Allen, IND, HOU, TE, 6, 0.90
Dwayne Allen, IND, GNB, TE, 44, 1.50
Dwayne Allen, IND, TEN, TE, 49, 0
Dwayne Allen, IND, PIT, TE, 40, 4.90
Dwayne Allen, IND, NYJ, TE, 45, 25.20
Dwayne Allen, IND, HOU, TE, 38, 0
Dwayne Allen, IND, MIN, TE, 33, 1.30
Dwayne Allen, IND, OAK, TE, 35, 3.10
Dwayne Allen, IND, JAX, TE, 41, 9.40
