Name, team, opp, pos, snaps, fantasy_pts 
Eli Manning, NYG, DAL, QB, 56, 18.28
Eli Manning, NYG, NOR, QB, 79, 12.32
Eli Manning, NYG, WAS, QB, 67, 14.00
Eli Manning, NYG, MIN, QB, 66, 8.44
Eli Manning, NYG, GNB, QB, 56, 10.06
Eli Manning, NYG, BAL, QB, 67, 24.12
Eli Manning, NYG, LAR, QB, 57, 7.64
Eli Manning, NYG, PHI, QB, 64, 21.88
Eli Manning, NYG, CIN, QB, 75, 18.00
Eli Manning, NYG, CHI, QB, 67, 17.18
Eli Manning, NYG, CLE, QB, 56, 19.56
Eli Manning, NYG, PIT, QB, 60, 11.70
Eli Manning, NYG, DAL, QB, 67, 5.52
Eli Manning, NYG, DET, QB, 64, 16.04
Eli Manning, NYG, PHI, QB, 89, 12.24
Eli Manning, NYG, WAS, QB, 72, 7.20
