Name, team, opp, pos, snaps, fantasy_pts 
Eli Rogers, PIT, WAS, TE, 47, 11.90
Eli Rogers, PIT, CIN, WR, 41, 0.90
Eli Rogers, PIT, PHI, WR, 21, 3.20
Eli Rogers, PIT, MIA, WR, 32, 3.50
Eli Rogers, PIT, BAL, WR, 46, 10.30
Eli Rogers, PIT, DAL, WR, 64, 10.20
Eli Rogers, PIT, CLE, WR, 45, 2.00
Eli Rogers, PIT, IND, WR, 27, 3.60
Eli Rogers, PIT, NYG, WR, 45, 1.80
Eli Rogers, PIT, BUF, WR, 35, 2.00
Eli Rogers, PIT, CIN, WR, 48, 13.50
Eli Rogers, PIT, BAL, WR, 44, 9.00
Eli Rogers, PIT, CLE, WR, 55, 6.10
