Name, team, opp, pos, snaps, fantasy_pts 
Emmanuel Sanders, DEN, CAR, WR, 50, 4.90
Emmanuel Sanders, DEN, IND, WR, 60, 3.90
Emmanuel Sanders, DEN, CIN, WR, 57, 23.70
Emmanuel Sanders, DEN, TAM, WR, 62, 14.80
Emmanuel Sanders, DEN, ATL, WR, 68, 8.00
Emmanuel Sanders, DEN, SDG, WR, 46, 4.00
Emmanuel Sanders, DEN, HOU, WR, 52, 8.60
Emmanuel Sanders, DEN, SDG, WR, 58, 6.80
Emmanuel Sanders, DEN, OAK, WR, 52, 4.70
Emmanuel Sanders, DEN, NOR, WR, 75, 5.40
Emmanuel Sanders, DEN, KAN, WR, 73, 22.20
Emmanuel Sanders, DEN, JAX, WR, 45, 3.20
Emmanuel Sanders, DEN, TEN, WR, 60, 16.00
Emmanuel Sanders, DEN, NWE, WR, 58, 4.80
Emmanuel Sanders, DEN, KAN, WR, 47, 2.60
Emmanuel Sanders, DEN, OAK, WR, 2, 0
