Name, team, opp, pos, snaps, fantasy_pts 
Ezekiel Elliott, DAL, NYG, RB, 48, 11.20
Ezekiel Elliott, DAL, WAS, RB, 43, 12.70
Ezekiel Elliott, DAL, CHI, RB, 51, 16.00
Ezekiel Elliott, DAL, SFO, RB, 47, 21.70
Ezekiel Elliott, DAL, CIN, RB, 45, 29.10
Ezekiel Elliott, DAL, GNB, RB, 58, 17.40
Ezekiel Elliott, DAL, PHI, RB, 64, 14.80
Ezekiel Elliott, DAL, CLE, RB, 44, 21.70
Ezekiel Elliott, DAL, PIT, RB, 43, 38.90
Ezekiel Elliott, DAL, BAL, RB, 50, 12.70
Ezekiel Elliott, DAL, WAS, RB, 46, 24.00
Ezekiel Elliott, DAL, MIN, RB, 43, 16.50
Ezekiel Elliott, DAL, NYG, RB, 44, 10.70
Ezekiel Elliott, DAL, TAM, RB, 58, 24.80
Ezekiel Elliott, DAL, DET, RB, 29, 21.20
