Name, team, opp, pos, snaps, fantasy_pts 
Gary Barnidge, CLE, PHI, TE, 51, 0
Gary Barnidge, CLE, BAL, TE, 61, 3.70
Gary Barnidge, CLE, MIA, TE, 82, 8.60
Gary Barnidge, CLE, WAS, TE, 72, 5.70
Gary Barnidge, CLE, NWE, TE, 61, 7.60
Gary Barnidge, CLE, TEN, TE, 67, 5.90
Gary Barnidge, CLE, CIN, TE, 63, 6.60
Gary Barnidge, CLE, NYJ, TE, 69, 4.20
Gary Barnidge, CLE, DAL, TE, 44, 2.30
Gary Barnidge, CLE, BAL, TE, 39, 0.80
Gary Barnidge, CLE, PIT, TE, 60, 8.30
Gary Barnidge, CLE, NYG, TE, 57, 1.10
Gary Barnidge, CLE, CIN, TE, 51, 2.70
Gary Barnidge, CLE, BUF, TE, 52, 3.50
Gary Barnidge, CLE, SDG, TE, 68, 4.20
Gary Barnidge, CLE, PIT, TE, 71, 10.00
