Name, team, opp, pos, snaps, fantasy_pts 
Golden Tate, DET, IND, WR, 55, 4.30
Golden Tate, DET, TEN, WR, 70, 1.30
Golden Tate, DET, GNB, WR, 59, 3.20
Golden Tate, DET, CHI, WR, 36, 2.10
Golden Tate, DET, PHI, WR, 49, 4.50
Golden Tate, DET, LAR, WR, 50, 22.80
Golden Tate, DET, WAS, WR, 44, 9.30
Golden Tate, DET, HOU, WR, 54, 4.20
Golden Tate, DET, MIN, WR, 53, 14.00
Golden Tate, DET, JAX, WR, 47, 0.10
Golden Tate, DET, MIN, WR, 51, 7.70
Golden Tate, DET, NOR, WR, 60, 20.50
Golden Tate, DET, CHI, WR, 63, 5.70
Golden Tate, DET, NYG, WR, 50, 12.20
Golden Tate, DET, DAL, WR, 63, 5.80
Golden Tate, DET, GNB, WR, 62, 14.40
