Name, team, opp, pos, snaps, fantasy_pts 
Greg Olsen, CAR, DEN, TE, 73, 7.30
Greg Olsen, CAR, SFO, TE, 76, 18.20
Greg Olsen, CAR, MIN, TE, 77, 6.40
Greg Olsen, CAR, ATL, TE, 67, 15.60
Greg Olsen, CAR, TAM, TE, 54, 18.10
Greg Olsen, CAR, NOR, TE, 81, 9.40
Greg Olsen, CAR, ARI, TE, 67, 1.10
Greg Olsen, CAR, LAR, TE, 62, 11.20
Greg Olsen, CAR, KAN, TE, 73, 3.90
Greg Olsen, CAR, NOR, TE, 62, 3.30
Greg Olsen, CAR, OAK, TE, 65, 4.50
Greg Olsen, CAR, SEA, TE, 58, 3.00
Greg Olsen, CAR, SDG, TE, 69, 8.70
Greg Olsen, CAR, WAS, TE, 63, 8.50
Greg Olsen, CAR, ATL, TE, 40, 5.90
Greg Olsen, CAR, TAM, TE, 46, 2.20
