Name, team, opp, pos, snaps, fantasy_pts 
Hunter Henry, SDG, KAN, TE, 30, 2.00
Hunter Henry, SDG, JAX, TE, 39, 0
Hunter Henry, SDG, IND, TE, 59, 5.20
Hunter Henry, SDG, NOR, TE, 68, 12.10
Hunter Henry, SDG, OAK, TE, 42, 13.40
Hunter Henry, SDG, DEN, TE, 45, 14.30
Hunter Henry, SDG, ATL, TE, 47, 1.60
Hunter Henry, SDG, DEN, TE, 45, 1.40
Hunter Henry, SDG, MIA, TE, 26, 7.10
Hunter Henry, SDG, HOU, TE, 28, 8.00
Hunter Henry, SDG, TAM, TE, 24, 1.40
Hunter Henry, SDG, CAR, TE, 35, 7.30
Hunter Henry, SDG, OAK, TE, 29, 9.70
Hunter Henry, SDG, CLE, TE, 20, 0
Hunter Henry, SDG, KAN, TE, 36, 10.30
