Name, team, opp, pos, snaps, fantasy_pts 
Isaiah Crowell, CLE, PHI, RB, 30, 13.80
Isaiah Crowell, CLE, BAL, RB, 32, 20.80
Isaiah Crowell, CLE, MIA, RB, 42, 7.90
Isaiah Crowell, CLE, WAS, RB, 34, 20.20
Isaiah Crowell, CLE, NWE, RB, 37, 4.00
Isaiah Crowell, CLE, TEN, RB, 38, 3.60
Isaiah Crowell, CLE, CIN, RB, 38, 13.90
Isaiah Crowell, CLE, NYJ, RB, 41, 12.30
Isaiah Crowell, CLE, DAL, RB, 22, 6.70
Isaiah Crowell, CLE, BAL, RB, 30, 5.30
Isaiah Crowell, CLE, PIT, RB, 35, 2.30
Isaiah Crowell, CLE, NYG, RB, 40, 7.10
Isaiah Crowell, CLE, CIN, RB, 30, 11.80
Isaiah Crowell, CLE, BUF, RB, 29, 2.80
Isaiah Crowell, CLE, SDG, RB, 38, 17.80
Isaiah Crowell, CLE, PIT, RB, 52, 14.80
