Name, team, opp, pos, snaps, fantasy_pts 
JJ Nelson, ARI, NWE, WR, 2, 1.10
JJ Nelson, ARI, BUF, WR, 1, 0
JJ Nelson, ARI, LAR, WR, 4, 2.40
JJ Nelson, ARI, SFO, WR, 3, 0
JJ Nelson, ARI, NYJ, WR, 16, 3.90
JJ Nelson, ARI, SEA, WR, 80, 8.80
JJ Nelson, ARI, CAR, WR, 65, 19.90
JJ Nelson, ARI, SFO, WR, 49, 0.90
JJ Nelson, ARI, MIN, WR, 30, 0
JJ Nelson, ARI, ATL, WR, 37, 3.00
JJ Nelson, ARI, WAS, WR, 34, 10.20
JJ Nelson, ARI, MIA, WR, 22, 18.40
JJ Nelson, ARI, NOR, WR, 46, 9.80
JJ Nelson, ARI, SEA, WR, 42, 19.20
JJ Nelson, ARI, LAR, WR, 40, 7.50
