Name, team, opp, pos, snaps, fantasy_pts 
Jalen Richard, OAK, NOR, RB, 10, 15.50
Jalen Richard, OAK, ATL, RB, 16, 2.70
Jalen Richard, OAK, TEN, RB, 13, 4.10
Jalen Richard, OAK, BAL, RB, 15, 2.00
Jalen Richard, OAK, SDG, RB, 23, 9.70
Jalen Richard, OAK, KAN, RB, 14, 1.20
Jalen Richard, OAK, JAX, RB, 4, 0.10
Jalen Richard, OAK, TAM, RB, 17, 3.70
Jalen Richard, OAK, DEN, RB, 21, 7.20
Jalen Richard, OAK, HOU, RB, 12, 11.20
Jalen Richard, OAK, CAR, RB, 13, 2.30
Jalen Richard, OAK, BUF, RB, 17, 5.30
Jalen Richard, OAK, KAN, RB, 17, 2.90
Jalen Richard, OAK, SDG, RB, 18, 4.90
Jalen Richard, OAK, IND, RB, 15, 13.90
Jalen Richard, OAK, DEN, RB, 11, 0
