Name, team, opp, pos, snaps, fantasy_pts 
Jameis Winston, TAM, ATL, QB, 64, 25.54
Jameis Winston, TAM, ARI, QB, 79, 4.62
Jameis Winston, TAM, LAR, QB, 90, 25.50
Jameis Winston, TAM, DEN, QB, 71, 11.06
Jameis Winston, TAM, CAR, QB, 73, 15.36
Jameis Winston, TAM, SFO, QB, 75, 20.66
Jameis Winston, TAM, OAK, QB, 68, 18.80
Jameis Winston, TAM, ATL, QB, 68, 21.54
Jameis Winston, TAM, CHI, QB, 72, 18.48
Jameis Winston, TAM, KAN, QB, 77, 17.44
Jameis Winston, TAM, SEA, QB, 67, 16.00
Jameis Winston, TAM, SDG, QB, 65, 15.30
Jameis Winston, TAM, NOR, QB, 66, 8.96
Jameis Winston, TAM, DAL, QB, 60, 10.48
Jameis Winston, TAM, NOR, QB, 61, 16.48
Jameis Winston, TAM, CAR, QB, 63, 9.88
