Name, team, opp, pos, snaps, fantasy_pts 
James White , NWE, ARI, RB, 26, 4.40
James White , NWE, MIA, RB, 28, 2.90
James White , NWE, HOU, RB, 16, 1.40
James White , NWE, BUF, RB, 21, 6.20
James White , NWE, CLE, RB, 38, 8.90
James White , NWE, CIN, RB, 39, 18.60
James White , NWE, PIT, RB, 24, 9.20
James White , NWE, BUF, RB, 33, 2.90
James White , NWE, SEA, RB, 29, 3.70
James White , NWE, SFO, RB, 24, 12.30
James White , NWE, NYJ, RB, 26, 2.20
James White , NWE, LAR, RB, 29, 3.50
James White , NWE, BAL, RB, 29, 8.40
James White , NWE, DEN, RB, 24, 3.50
James White , NWE, NYJ, RB, 19, 10.60
James White , NWE, MIA, RB, 21, 3.00
