Name, team, opp, pos, snaps, fantasy_pts 
Jamize Olawale , OAK, NOR, FB, 12, 6.20
Jamize Olawale , OAK, ATL, FB, 26, 3.90
Jamize Olawale , OAK, TEN, FB, 22, 0
Jamize Olawale , OAK, BAL, FB, 18, 0
Jamize Olawale , OAK, SDG, FB, 22, 8.40
Jamize Olawale , OAK, KAN, FB, 11, 0
Jamize Olawale , OAK, JAX, FB, 25, 1.20
Jamize Olawale , OAK, TAM, FB, 24, 6.80
Jamize Olawale , OAK, DEN, FB, 16, 0.40
Jamize Olawale , OAK, HOU, FB, 16, 14.70
Jamize Olawale , OAK, CAR, FB, 10, 0.80
Jamize Olawale , OAK, BUF, FB, 10, 0
Jamize Olawale , OAK, KAN, FB, 7, 0.80
Jamize Olawale , OAK, SDG, FB, 20, 1.20
Jamize Olawale , OAK, IND, FB, 14, 0
Jamize Olawale , OAK, DEN, FB, 10, 1.00
