Name, team, opp, pos, snaps, fantasy_pts 
Jeremy Kerley, SFO, LAR, WR, 54, 6.10
Jeremy Kerley, SFO, CAR, WR, 47, 2.90
Jeremy Kerley, SFO, SEA, WR, 43, 2.40
Jeremy Kerley, SFO, DAL, WR, 47, 14.80
Jeremy Kerley, SFO, ARI, WR, 78, 16.20
Jeremy Kerley, SFO, BUF, WR, 57, 1.20
Jeremy Kerley, SFO, TAM, WR, 41, 1.50
Jeremy Kerley, SFO, NOR, WR, 45, 2.20
Jeremy Kerley, SFO, ARI, WR, 51, 11.10
Jeremy Kerley, SFO, NWE, WR, 42, 0
Jeremy Kerley, SFO, MIA, WR, 49, 2.40
Jeremy Kerley, SFO, CHI, WR, 37, 1.80
Jeremy Kerley, SFO, NYJ, WR, 40, 5.00
Jeremy Kerley, SFO, ATL, WR, 52, 2.80
Jeremy Kerley, SFO, LAR, WR, 58, 6.20
Jeremy Kerley, SFO, SEA, WR, 50, 6.10
