Name, team, opp, pos, snaps, fantasy_pts 
Jermaine Kearse, SEA, MIA, WR, 70, 5.70
Jermaine Kearse, SEA, LAR, WR, 55, 1.10
Jermaine Kearse, SEA, SFO, WR, 54, 1.10
Jermaine Kearse, SEA, NYJ, WR, 44, 2.30
Jermaine Kearse, SEA, ATL, WR, 53, 3.50
Jermaine Kearse, SEA, ARI, WR, 56, 5.10
Jermaine Kearse, SEA, NOR, WR, 47, 5.70
Jermaine Kearse, SEA, BUF, WR, 40, 3.60
Jermaine Kearse, SEA, NWE, WR, 56, 2.60
Jermaine Kearse, SEA, PHI, WR, 47, 2.90
Jermaine Kearse, SEA, TAM, WR, 50, 1.80
Jermaine Kearse, SEA, CAR, WR, 64, 6.80
Jermaine Kearse, SEA, GNB, WR, 53, 0.70
Jermaine Kearse, SEA, LAR, WR, 37, 0
Jermaine Kearse, SEA, ARI, WR, 66, 9.70
Jermaine Kearse, SEA, SFO, WR, 37, 4.40
