Name, team, opp, pos, snaps, fantasy_pts 
Jimmy Graham, SEA, MIA, TE, 17, 1.10
Jimmy Graham, SEA, LAR, TE, 55, 4.20
Jimmy Graham, SEA, SFO, TE, 47, 14.00
Jimmy Graham, SEA, NYJ, TE, 40, 11.30
Jimmy Graham, SEA, ATL, TE, 63, 8.90
Jimmy Graham, SEA, ARI, TE, 61, 5.30
Jimmy Graham, SEA, NOR, TE, 49, 3.40
Jimmy Graham, SEA, BUF, TE, 42, 22.30
Jimmy Graham, SEA, NWE, TE, 67, 4.80
Jimmy Graham, SEA, PHI, TE, 50, 10.60
Jimmy Graham, SEA, TAM, TE, 63, 4.70
Jimmy Graham, SEA, CAR, TE, 53, 12.30
Jimmy Graham, SEA, GNB, TE, 41, 1.60
Jimmy Graham, SEA, LAR, TE, 37, 3.10
Jimmy Graham, SEA, ARI, TE, 68, 10.30
Jimmy Graham, SEA, SFO, TE, 37, 6.40
