Name, team, opp, pos, snaps, fantasy_pts 
Jordan Matthews, PHI, CLE, WR, 71, 17.40
Jordan Matthews, PHI, CHI, WR, 71, 7.10
Jordan Matthews, PHI, PIT, WR, 55, 7.90
Jordan Matthews, PHI, DET, WR, 57, 6.50
Jordan Matthews, PHI, WAS, WR, 48, 7.50
Jordan Matthews, PHI, MIN, WR, 45, 1.00
Jordan Matthews, PHI, DAL, WR, 68, 12.50
Jordan Matthews, PHI, NYG, WR, 65, 8.80
Jordan Matthews, PHI, ATL, WR, 75, 7.30
Jordan Matthews, PHI, SEA, WR, 73, 5.90
Jordan Matthews, PHI, GNB, WR, 24, 4.70
Jordan Matthews, PHI, WAS, WR, 76, 7.90
Jordan Matthews, PHI, BAL, WR, 76, 2.70
Jordan Matthews, PHI, NYG, WR, 39, 1.20
