Name, team, opp, pos, snaps, fantasy_pts 
Julian Edelman, NWE, ARI, WR, 61, 8.20
Julian Edelman, NWE, MIA, WR, 63, 7.60
Julian Edelman, NWE, HOU, WR, 46, 5.20
Julian Edelman, NWE, BUF, WR, 50, 1.70
Julian Edelman, NWE, CLE, WR, 59, 3.50
Julian Edelman, NWE, CIN, WR, 58, 3.80
Julian Edelman, NWE, PIT, WR, 51, 4.00
Julian Edelman, NWE, BUF, WR, 60, 9.70
Julian Edelman, NWE, SEA, WR, 52, 7.90
Julian Edelman, NWE, SFO, WR, 67, 14.90
Julian Edelman, NWE, NYJ, WR, 66, 8.30
Julian Edelman, NWE, LAR, WR, 54, 10.10
Julian Edelman, NWE, BAL, WR, 47, 7.30
Julian Edelman, NWE, DEN, WR, 44, 7.50
Julian Edelman, NWE, NYJ, WR, 36, 8.90
Julian Edelman, NWE, MIA, WR, 60, 23.70
