Name, team, opp, pos, snaps, fantasy_pts 
Julio Jones, ATL, TAM, WR, 55, 12.60
Julio Jones, ATL, OAK, WR, 49, 16.60
Julio Jones, ATL, NOR, WR, 47, 1.60
Julio Jones, ATL, CAR, WR, 47, 36.00
Julio Jones, ATL, DEN, WR, 50, 2.90
Julio Jones, ATL, SEA, WR, 62, 19.90
Julio Jones, ATL, SDG, WR, 57, 17.40
Julio Jones, ATL, GNB, WR, 53, 2.90
Julio Jones, ATL, TAM, WR, 53, 17.10
Julio Jones, ATL, PHI, WR, 41, 13.50
Julio Jones, ATL, ARI, WR, 56, 3.50
Julio Jones, ATL, KAN, WR, 47, 11.30
Julio Jones, ATL, CAR, WR, 39, 6.00
Julio Jones, ATL, NOR, WR, 49, 15.60
