Name, team, opp, pos, snaps, fantasy_pts 
Kenjon Barner, PHI, CLE, RB, 6, 4.20
Kenjon Barner, PHI, CHI, RB, 8, 0.20
Kenjon Barner, PHI, PIT, RB, 12, 10.20
Kenjon Barner, PHI, DET, RB, 1, 0
Kenjon Barner, PHI, WAS, RB, 8, 0.60
Kenjon Barner, PHI, MIN, RB, 3, 0
Kenjon Barner, PHI, DAL, RB, 6, 1.40
Kenjon Barner, PHI, NYG, RB, 3, 6.30
Kenjon Barner, PHI, ATL, RB, 3, 0
Kenjon Barner, PHI, SEA, RB, 18, 1.70
Kenjon Barner, PHI, GNB, RB, 6, 1.20
Kenjon Barner, PHI, CIN, RB, 13, 0.20
Kenjon Barner, PHI, BAL, RB, 12, 3.10
