Name, team, opp, pos, snaps, fantasy_pts 
Kenny Britt, LAR, SFO, WR, 59, 6.70
Kenny Britt, LAR, SEA, WR, 52, 9.40
Kenny Britt, LAR, TAM, WR, 54, 1.80
Kenny Britt, LAR, ARI, WR, 46, 8.20
Kenny Britt, LAR, BUF, WR, 52, 7.50
Kenny Britt, LAR, DET, WR, 47, 25.60
Kenny Britt, LAR, NYG, WR, 70, 4.30
Kenny Britt, LAR, CAR, WR, 60, 10.90
Kenny Britt, LAR, NYJ, WR, 58, 10.90
Kenny Britt, LAR, MIA, WR, 60, 4.30
Kenny Britt, LAR, NOR, WR, 47, 11.20
Kenny Britt, LAR, NWE, WR, 48, 12.70
Kenny Britt, LAR, ATL, WR, 59, 8.20
Kenny Britt, LAR, SEA, WR, 43, 5.00
Kenny Britt, LAR, SFO, WR, 31, 1.50
