Name, team, opp, pos, snaps, fantasy_pts 
Kenny Stills, MIA, SEA, WR, 54, 1.60
Kenny Stills, MIA, NWE, WR, 63, 9.90
Kenny Stills, MIA, CLE, WR, 65, 7.60
Kenny Stills, MIA, CIN, WR, 45, 13.40
Kenny Stills, MIA, TEN, WR, 35, 0
Kenny Stills, MIA, PIT, WR, 54, 1.20
Kenny Stills, MIA, BUF, WR, 68, 16.00
Kenny Stills, MIA, NYJ, WR, 15, 1.10
Kenny Stills, MIA, SDG, WR, 36, 10.70
Kenny Stills, MIA, LAR, WR, 50, 3.30
Kenny Stills, MIA, SFO, WR, 51, 13.20
Kenny Stills, MIA, BAL, WR, 62, 2.10
Kenny Stills, MIA, ARI, WR, 57, 15.70
Kenny Stills, MIA, NYJ, WR, 26, 11.20
Kenny Stills, MIA, BUF, WR, 59, 9.50
Kenny Stills, MIA, NWE, WR, 55, 10.10
