Name, team, opp, pos, snaps, fantasy_pts 
Kenyan Drake, MIA, SEA, RB, 1, 0
Kenyan Drake, MIA, NWE, RB, 18, 7.80
Kenyan Drake, MIA, CLE, RB, 27, 4.80
Kenyan Drake, MIA, CIN, RB, 7, 1.50
Kenyan Drake, MIA, TEN, RB, 7, 2.00
Kenyan Drake, MIA, PIT, RB, 1, 0
Kenyan Drake, MIA, BUF, RB, 2, 0
Kenyan Drake, MIA, NYJ, RB, 3, 0.60
Kenyan Drake, MIA, SDG, RB, 2, 0.90
Kenyan Drake, MIA, LAR, RB, 2, 0.20
Kenyan Drake, MIA, SFO, RB, 3, 0.90
Kenyan Drake, MIA, BAL, RB, 10, 0.50
Kenyan Drake, MIA, ARI, RB, 2, 1.10
Kenyan Drake, MIA, NYJ, RB, 5, 1.60
Kenyan Drake, MIA, BUF, RB, 7, 11.60
Kenyan Drake, MIA, NWE, RB, 12, 1.00
