Name, team, opp, pos, snaps, fantasy_pts 
Kirk Cousins, WAS, PIT, QB, 58, 9.96
Kirk Cousins, WAS, DAL, QB, 67, 18.56
Kirk Cousins, WAS, NYG, QB, 71, 19.34
Kirk Cousins, WAS, CLE, QB, 62, 17.32
Kirk Cousins, WAS, BAL, QB, 66, 12.30
Kirk Cousins, WAS, PHI, QB, 74, 17.32
Kirk Cousins, WAS, DET, QB, 73, 21.54
Kirk Cousins, WAS, CIN, QB, 91, 24.22
Kirk Cousins, WAS, MIN, QB, 63, 18.38
Kirk Cousins, WAS, GNB, QB, 66, 27.40
Kirk Cousins, WAS, DAL, QB, 75, 30.16
Kirk Cousins, WAS, ARI, QB, 60, 16.84
Kirk Cousins, WAS, PHI, QB, 48, 15.96
Kirk Cousins, WAS, CAR, QB, 64, 9.70
Kirk Cousins, WAS, CHI, QB, 67, 29.80
Kirk Cousins, WAS, NYG, QB, 55, 11.48
