Name, team, opp, pos, snaps, fantasy_pts 
Kyle Juszczyk, BAL, BUF, FB, 21, 2.30
Kyle Juszczyk, BAL, CLE, RB, 15, 0.80
Kyle Juszczyk, BAL, JAX, FB, 19, 0.20
Kyle Juszczyk, BAL, OAK, RB, 39, 5.60
Kyle Juszczyk, BAL, WAS, FB, 42, 2.00
Kyle Juszczyk, BAL, NYG, FB, 43, 2.50
Kyle Juszczyk, BAL, NYJ, FB, 30, 0.20
Kyle Juszczyk, BAL, PIT, FB, 34, 0.20
Kyle Juszczyk, BAL, CLE, FB, 36, 2.70
Kyle Juszczyk, BAL, DAL, RB, 25, 3.20
Kyle Juszczyk, BAL, CIN, RB, 25, 1.80
Kyle Juszczyk, BAL, MIA, RB, 20, 0.60
Kyle Juszczyk, BAL, NWE, FB, 26, 4.60
Kyle Juszczyk, BAL, PHI, RB, 32, 1.50
Kyle Juszczyk, BAL, PIT, FB, 31, 8.50
Kyle Juszczyk, BAL, CIN, FB, 25, 0.10
